gene_id,gene_name,gene_type,replicated_overall_rank,overall_rank,average_rank,n_withinTop100,Br6522_LC_1_round1_single,Br6522_LC_2_round1_single,Br8153_LC_round2_left,Br8153_LC_round2_right,Br2701_LC_round2_top,Br2701_LC_round2_bottom,Br6522_LC_round3_leftbottom,Br6522_LC_round3_right,Br8079_LC_round3_left,Br8079_LC_round3_right,Br2701_LC_round3_left,Br2701_LC_round3_right,Br8153_LC_round3_left
ENSG00000137207,YIPF3,protein_coding,NA,3045,2317.666667,0,1304,NA,NA,NA,NA,NA,2233,3416,NA,NA,NA,NA,NA
ENSG00000162065,TBC1D24,protein_coding,NA,3046,2318,0,NA,NA,NA,NA,NA,NA,NA,2318,NA,NA,NA,NA,NA
ENSG00000172775,FAM192A,protein_coding,NA,3047,2318.5,0,NA,NA,NA,NA,NA,NA,1242,3395,NA,NA,NA,NA,NA
ENSG00000115561,CHMP3,protein_coding,NA,3048,2319.333333,0,2202,NA,NA,NA,NA,NA,1085,3671,NA,NA,NA,NA,NA
ENSG00000104412,EMC2,protein_coding,NA,3049,2321,0,1249,NA,NA,NA,NA,NA,NA,3393,NA,NA,NA,NA,NA
ENSG00000083896,YTHDC1,protein_coding,NA,3050,2322,0,NA,NA,NA,NA,NA,NA,1976,2668,NA,NA,NA,NA,NA
ENSG00000112379,ARFGEF3,protein_coding,NA,3051,2324,0,2308,NA,NA,NA,NA,NA,1961,2703,NA,NA,NA,NA,NA
ENSG00000166233,ARIH1,protein_coding,NA,3052,2326,0,NA,NA,NA,NA,NA,NA,NA,2326,NA,NA,NA,NA,NA
ENSG00000101298,SNPH,protein_coding,NA,3053,2327,0,NA,NA,NA,NA,NA,NA,NA,2327,NA,NA,NA,NA,NA
ENSG00000114120,SLC25A36,protein_coding,NA,3054,2328,0,NA,NA,NA,NA,NA,NA,NA,2328,NA,NA,NA,NA,NA
ENSG00000111142,METAP2,protein_coding,NA,3055.5,2328.5,0,2221,NA,NA,NA,NA,NA,NA,2436,NA,NA,NA,NA,NA
ENSG00000176533,GNG7,protein_coding,NA,3055.5,2328.5,0,NA,NA,NA,NA,NA,NA,1447,3210,NA,NA,NA,NA,NA
ENSG00000136720,HS6ST1,protein_coding,NA,3057,2329,0,NA,NA,NA,NA,NA,NA,NA,2329,NA,NA,NA,NA,NA
ENSG00000172534,HCFC1,protein_coding,NA,3058,2330,0,NA,NA,NA,NA,NA,NA,NA,2330,NA,NA,NA,NA,NA
ENSG00000085733,CTTN,protein_coding,NA,3059,2331,0,2143,NA,NA,NA,NA,NA,NA,2519,NA,NA,NA,NA,NA
ENSG00000149187,CELF1,protein_coding,NA,3060,2333,0,NA,NA,NA,NA,NA,NA,NA,2333,NA,NA,NA,NA,NA
ENSG00000244754,N4BP2L2,protein_coding,NA,3061.5,2334,0,NA,NA,NA,NA,NA,NA,NA,2334,NA,NA,NA,NA,NA
ENSG00000013275,PSMC4,protein_coding,NA,3061.5,2334,0,2049,NA,NA,NA,NA,NA,NA,2619,NA,NA,NA,NA,NA
ENSG00000100528,CNIH1,protein_coding,NA,3063,2335,0,2098,NA,NA,NA,NA,NA,NA,2572,NA,NA,NA,NA,NA
ENSG00000181790,ADGRB1,protein_coding,NA,3064.5,2336,0,NA,NA,NA,NA,NA,NA,NA,2336,NA,NA,NA,NA,NA
ENSG00000166479,TMX3,protein_coding,NA,3064.5,2336,0,NA,NA,NA,NA,NA,NA,1282,3390,NA,NA,NA,NA,NA
ENSG00000099800,TIMM13,protein_coding,NA,3066,2337,0,1535,NA,NA,NA,NA,NA,2181,3295,NA,NA,NA,NA,NA
ENSG00000149313,AASDHPPT,protein_coding,NA,3067,2338.333333,0,2247,NA,NA,NA,NA,NA,2244,2524,NA,NA,NA,NA,NA
ENSG00000163636,PSMD6,protein_coding,NA,3068,2338.666667,0,2175,NA,NA,NA,NA,NA,1920,2921,NA,NA,NA,NA,NA
