"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000103353",4859,2741,2428,3871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3105,NA,NA,NA,NA,NA,2662,NA,NA,2212
"ENSG00000004779",732,1667,1529,1368,1013,825,787,882,876,635,782,1502,343,1188,283,840,886,659,488,662,1525,947,786,729,714,1069,2036,867,1038,918,1335,1568,1316,794,1341,1295
"ENSG00000166847",1338,3150,4074,3521,2643,NA,1594,2148,2372,2445,NA,NA,3640,2915,3285,2491,NA,NA,NA,NA,1448,NA,NA,NA,NA,2601,1701,2559,NA,NA,NA,NA,1871,2270,1846,1846
"ENSG00000166501",13,44,135,173,77,420,301,187,577,525,122,94,269,346,360,617,88,1248,719,218,140,165,478,425,706,863,169,248,164,119,298,324,564,559,278,681
"ENSG00000006116",301,389,1108,293,405,898,317,195,745,437,173,307,292,308,427,775,246,NA,765,547,432,393,NA,NA,807,691,239,335,434,206,549,668,298,446,446,541
"ENSG00000122257",3216,NA,4790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000090905",2759,3591,4237,5805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000158865",NA,NA,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000205629",4597,2548,3835,1961,NA,NA,NA,2571,2189,2483,NA,NA,2422,2839,2686,2134,NA,NA,1473,NA,NA,NA,NA,NA,NA,2265,1790,2109,NA,NA,NA,NA,NA,2695,NA,NA
"ENSG00000182601",NA,806,787,1043,459,421,388,NA,NA,NA,NA,NA,583,NA,476,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,533,NA,NA,NA,NA,1108,NA,NA,NA
"ENSG00000169189",4388,NA,3404,5905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000077235",3663,NA,3253,2783,2608,NA,1980,2378,2399,NA,NA,NA,NA,2570,NA,2417,NA,NA,NA,NA,1126,NA,NA,NA,NA,2886,1689,2085,NA,NA,1913,NA,2595,1477,1839,1687
"ENSG00000169181",NA,NA,NA,NA,NA,NA,NA,NA,NA,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000169180",4641,3683,4489,4702,NA,NA,NA,1846,3397,3094,NA,NA,NA,3913,NA,NA,NA,NA,NA,NA,1527,NA,NA,NA,NA,2626,1797,3571,NA,NA,NA,NA,2170,2296,2163,1948
"ENSG00000176046",NA,NA,527,1734,NA,924,NA,NA,245,946,1315,NA,NA,NA,NA,780,NA,NA,NA,NA,NA,NA,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000196502",4238,NA,2882,1960,NA,NA,NA,NA,2976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000168488",4858,NA,NA,4640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2911,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000178952",3424,3049,4626,4201,1973,1889,2051,1900,2717,2130,1756,2057,3736,3972,2649,2278,1759,1772,1771,1259,2065,1729,1245,1284,1857,3473,2783,2116,2064,NA,1909,1347,2685,2078,2106,1930
"ENSG00000178188",5013,NA,4334,5812,NA,NA,NA,NA,3272,3032,NA,NA,NA,3859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000079616",NA,NA,3069,4509,NA,NA,NA,NA,3686,NA,NA,NA,3671,3780,NA,2395,NA,NA,NA,NA,NA,NA,NA,NA,NA,3185,NA,NA,NA,NA,NA,1763,NA,NA,NA,NA
"ENSG00000103495",5398,2434,3996,4906,2073,1842,1654,2980,3648,3185,1705,NA,3460,3773,3294,2520,NA,NA,NA,NA,2156,2041,NA,NA,NA,2878,2634,2202,1964,NA,NA,NA,3111,2863,2517,2982
"ENSG00000167371",880,536,690,532,427,711,854,1035,1098,590,500,623,873,720,653,1015,900,NA,881,NA,691,909,NA,NA,534,894,1022,774,621,NA,746,NA,972,834,485,674
"ENSG00000280789",3493,NA,2740,6012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000103502",5577,1804,3885,3433,2292,2067,2405,3140,2762,2228,NA,NA,2804,3096,1893,2108,NA,1361,1341,NA,2519,1745,NA,NA,1710,1789,3423,1946,1496,NA,1964,NA,1690,2486,2075,2140
"ENSG00000174938",1040,229,396,272,189,268,196,410,378,337,160,231,538,429,439,892,297,309,584,421,425,405,340,340,461,713,268,243,185,241,258,341,296,234,295,480
"ENSG00000174939",2374,3727,4660,3422,NA,NA,3037,3126,2168,1172,NA,1511,3717,2837,2726,2068,1644,NA,1457,1427,1730,1840,NA,NA,NA,2388,3516,2881,NA,NA,1439,NA,2878,1667,1888,1765
"ENSG00000174943",4965,NA,2444,1738,NA,NA,NA,1320,3159,NA,NA,NA,2200,1931,2176,1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274,1242,1265,NA,NA,1478,NA,1623,2265,1731,1791
"ENSG00000149932",3667,3398,4213,3792,2252,2056,2677,2864,3353,3476,1932,1124,3360,2942,2826,2124,2009,2059,1982,1302,2178,2336,NA,1401,2200,3214,3895,3216,2074,1091,2192,1978,3312,2342,2713,3050
"ENSG00000149930",4946,2925,4498,4371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000169592",3447,NA,NA,5990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000149927",2357,608,1305,693,476,767,537,441,525,571,NA,865,687,499,1145,808,619,770,754,632,323,789,563,419,682,807,363,667,640,NA,724,NA,764,738,655,708
"ENSG00000149926",NA,NA,NA,2478,NA,NA,NA,NA,2799,868,NA,NA,NA,2324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000149925",399,644,1013,1050,867,531,481,578,1053,656,670,931,204,730,385,478,786,321,298,295,592,549,382,427,318,554,720,720,1237,787,858,1463,NA,909,2543,1477
"ENSG00000149923",NA,NA,NA,5872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000090238",3915,1565,1659,1430,925,880,761,1428,842,1127,991,1427,947,1310,772,774,669,337,232,568,844,1173,647,627,605,836,955,1419,861,780,613,873,979,425,796,753
"ENSG00000102882",2017,1646,2369,1732,1479,808,1060,1343,2808,3217,1853,1792,3057,2326,1611,2187,1617,2117,1644,NA,2091,2069,NA,NA,1632,1947,1784,1666,1495,1024,2027,1458,1980,1678,2295,1255
"ENSG00000102879",1891,975,2915,1730,1439,NA,1831,1129,2370,2067,NA,1630,1414,1461,1400,NA,NA,NA,NA,NA,1590,1068,NA,NA,1078,1763,973,1657,NA,NA,1770,NA,2121,1375,2276,1224
"ENSG00000169217",5488,NA,4316,4572,NA,NA,NA,NA,3274,2751,NA,NA,3636,3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3609,NA,NA,NA,NA,NA,NA,NA,NA,2811
"ENSG00000169221",5482,2952,3796,5558,NA,NA,NA,NA,3645,NA,NA,NA,NA,4083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2474,NA,NA,NA,NA,NA,2256,NA,NA,NA
"ENSG00000179965",2710,NA,3230,3106,NA,NA,NA,NA,NA,NA,NA,NA,NA,3571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000179958",5386,NA,NA,5629,NA,NA,NA,NA,NA,NA,NA,NA,2188,NA,2254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3687,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000179918",NA,NA,4171,4158,NA,NA,NA,NA,NA,NA,NA,NA,2033,2945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2211,2268,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000156873",NA,NA,NA,4299,NA,NA,NA,NA,NA,2537,NA,NA,NA,3881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000103549",4721,NA,4995,4226,NA,NA,NA,NA,NA,NA,NA,NA,NA,3442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3068,NA,NA,NA,NA,NA,3135,2538,NA,NA
"ENSG00000099364",3736,NA,NA,4081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000099365",2265,980,762,675,297,581,235,706,903,526,232,461,433,792,487,1201,1001,1078,1316,1045,701,492,650,643,739,2549,840,649,495,NA,1097,879,704,845,886,1018
"ENSG00000103496",4373,NA,2513,4428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000167397",1934,NA,2655,5712,NA,NA,NA,NA,3562,NA,NA,NA,3627,3752,NA,2583,NA,NA,NA,NA,NA,NA,NA,NA,NA,2427,NA,NA,NA,NA,NA,1731,NA,2577,NA,2848
"ENSG00000103507",1323,NA,3946,5361,NA,NA,NA,NA,NA,NA,NA,NA,3001,3658,3052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000103510",1777,NA,4767,4846,NA,NA,NA,2164,NA,NA,NA,NA,NA,3220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2132,NA,NA,NA,NA,NA,NA,NA,NA,2556
"ENSG00000089280",2543,2944,3122,5135,2636,1816,2389,2724,2444,3318,1514,1777,3499,2430,1971,1700,1462,2006,1987,1510,2257,1497,NA,NA,970,1026,2549,2974,1809,NA,1891,1883,2096,2089,2220,886
"ENSG00000140688",2484,NA,2540,2444,NA,NA,1873,1064,NA,NA,NA,NA,3606,3308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2368,779,2270,NA,NA,NA,NA,2393,NA,NA,2621
"ENSG00000069329",531,674,2210,1367,882,1109,1072,738,1097,1057,789,1447,1224,1444,805,1433,666,851,522,741,1349,881,697,846,1510,742,559,861,872,652,743,1104,778,620,666,687
"ENSG00000166123",5436,2072,4048,4931,NA,NA,NA,3005,NA,NA,NA,NA,NA,4377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000069345",1727,1325,3257,1915,1553,NA,1279,1725,2596,2424,1583,1503,2331,3834,1449,NA,NA,NA,NA,NA,1908,1262,NA,NA,NA,2095,1802,1583,NA,NA,NA,NA,2998,2512,2247,1581
"ENSG00000171208",805,NA,1568,2497,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851,2266,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000129636",2571,547,935,514,559,491,724,311,761,821,606,524,615,594,719,904,333,603,417,644,657,608,560,675,879,597,217,487,585,251,443,619,516,563,497,499
"ENSG00000102893",5651,NA,NA,4608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000102910",4951,2932,4378,3983,NA,NA,NA,1688,3835,2711,NA,NA,3800,3407,NA,NA,NA,NA,NA,NA,2663,NA,NA,NA,NA,3471,1443,2317,NA,NA,NA,NA,3107,NA,1866,NA
"ENSG00000121274",5704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000166164",3976,NA,NA,5547,NA,NA,NA,NA,3378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000083799",2892,2348,3534,2823,NA,NA,NA,2128,NA,NA,NA,NA,4014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2467,2312,NA,NA,NA,NA,2670,NA,NA,NA
"ENSG00000277639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA
"ENSG00000103479",5796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000166971",2901,2396,4750,2964,2626,NA,1884,2774,3712,3370,NA,2015,2895,2960,3010,NA,NA,1542,NA,NA,NA,2335,NA,NA,NA,3309,2919,3153,NA,NA,NA,NA,3220,NA,2672,NA
"ENSG00000140718",1870,3190,4363,3071,2330,NA,1631,1898,3204,2086,NA,NA,3595,2142,2310,2571,1373,NA,1909,NA,2069,1724,NA,NA,NA,2319,1141,2839,1119,NA,NA,NA,1995,1717,1575,1647
"ENSG00000198848",NA,NA,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000087258",595,683,944,679,842,685,343,584,689,418,396,634,1193,824,465,660,434,472,421,527,357,334,260,360,800,710,297,608,486,395,421,409,344,263,433,281
"ENSG00000159461",2286,3438,4979,3446,2560,NA,2918,2781,3350,3241,NA,1819,3873,4182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3149,2405,2536,NA,NA,2024,NA,3100,3106,2354,2245
"ENSG00000167005",4505,2639,2270,2545,1855,NA,2208,1655,2247,1954,NA,NA,2751,2556,1424,2102,1358,1466,1555,NA,1526,1454,NA,NA,2111,1496,884,1724,1765,NA,NA,NA,2443,1733,1598,1251
"ENSG00000125124",3627,3677,2830,4454,NA,NA,NA,NA,2535,NA,NA,NA,NA,4297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2390,3851,NA,NA,NA,NA,NA,NA,NA,NA,2939
"ENSG00000087250",94,138,77,251,147,62,79,38,124,119,331,622,361,360,258,19,125,40,41,191,218,196,290,53,48,82,23,142,118,24,16,20,55,55,183,139
"ENSG00000125148",858,390,489,561,249,208,1154,263,140,767,903,884,1075,564,518,227,390,245,172,352,826,1348,624,437,196,345,298,576,595,253,230,682,484,230,447,307
"ENSG00000169715",3378,609,723,1513,500,431,1117,687,227,1218,947,1391,1579,312,859,253,399,287,185,391,1133,1111,1141,624,232,426,562,1310,722,403,478,1164,524,318,614,196
"ENSG00000205364",1775,1116,1684,2150,1082,754,702,337,1044,1990,2035,1217,1924,690,2503,417,1078,744,461,728,1602,2049,1089,949,870,2422,440,1177,1348,371,589,NA,858,718,1136,801
"ENSG00000198417",2262,1582,2182,2112,1079,1074,2139,1605,1573,2183,1662,1295,2368,1273,1895,612,1596,1051,890,701,1984,2367,NA,NA,1160,2852,2416,3049,2108,NA,1161,NA,2115,1038,1435,1428
"ENSG00000125144",NA,489,1049,1510,1778,819,497,210,1613,2582,NA,1753,1811,609,2457,539,922,403,204,1058,1483,1618,NA,813,997,2054,267,573,1343,NA,1365,NA,1594,543,1351,561
"ENSG00000205358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000187193",1758,1178,1938,1668,1133,1061,NA,1120,949,2092,1533,1311,1871,461,1608,331,1416,857,654,681,2476,NA,1055,NA,872,1745,2219,2655,932,488,696,1626,1508,625,1471,864
"ENSG00000102900",2052,NA,NA,4698,NA,NA,NA,NA,NA,2106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1431,NA,NA,NA,NA,NA,2057,NA,NA,NA
"ENSG00000051108",3655,1970,1579,4160,NA,NA,2103,NA,2542,3188,NA,NA,3950,3189,2409,2522,NA,1946,NA,NA,NA,NA,NA,NA,NA,3466,3815,NA,NA,NA,NA,1698,2980,2865,NA,2807
"ENSG00000140848",440,NA,2806,4749,NA,NA,NA,NA,NA,2119,NA,NA,NA,1834,NA,NA,NA,721,627,NA,NA,NA,NA,NA,869,958,NA,NA,NA,NA,NA,NA,1789,815,1407,745
"ENSG00000172775",3957,3464,3953,3877,2172,NA,2425,2854,3952,3530,1973,2192,3216,3665,2603,NA,NA,NA,NA,NA,2718,NA,NA,NA,NA,2751,3276,3529,NA,NA,NA,NA,3255,2917,NA,2947
"ENSG00000102931",5208,1658,2825,2753,NA,NA,1385,1568,2368,2525,NA,NA,2619,3863,2253,NA,NA,NA,1299,NA,1437,NA,NA,NA,NA,2593,1540,2138,NA,NA,NA,NA,2130,1448,2023,2428
"ENSG00000102934",1805,561,388,206,201,357,NA,638,461,253,328,135,183,272,808,103,NA,NA,NA,185,137,238,NA,329,NA,NA,NA,458,776,NA,284,NA,1225,1095,NA,NA
"ENSG00000006210",2169,864,1281,581,734,1011,610,455,1060,1198,460,519,876,554,1573,1066,385,1002,1205,923,501,616,NA,676,657,653,367,615,610,300,699,533,504,699,388,877
"ENSG00000005194",4221,NA,3459,4659,NA,NA,NA,NA,NA,2236,NA,NA,3571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000088682",4270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000102978",1471,3631,4225,4593,NA,NA,NA,3012,3412,NA,NA,NA,3420,3862,2735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2888,1584,3317,NA,NA,NA,NA,2850,2468,NA,NA
"ENSG00000205336",1683,1360,2025,2547,2461,1821,2905,1670,1327,2881,2109,2214,3084,2193,2354,1607,1798,1589,1818,1504,2550,2114,NA,NA,1501,3432,2246,2599,1822,1114,1890,NA,1698,2005,1658,1588
"ENSG00000140854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2164,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000103005",4711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000070761",3491,2502,3259,4070,NA,NA,NA,1851,2102,NA,NA,NA,3383,3018,2571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,2105,2212,NA,NA,NA,NA,2906,NA,NA,2601
"ENSG00000070770",4606,NA,NA,3709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000103034",343,142,248,144,155,242,43,204,207,85,142,189,151,163,88,299,127,170,220,150,125,107,88,107,238,194,188,155,112,171,169,141,86,114,101,152
"ENSG00000125107",4004,NA,4046,4783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000125166",1646,1044,3147,2225,1803,1308,1169,1175,1735,2203,1253,1401,1776,2397,992,1790,1162,1220,1541,NA,1641,1387,NA,1075,1395,1852,818,1396,1311,NA,976,1191,1042,1289,1140,1674
"ENSG00000150394",2639,528,1239,615,550,549,585,1337,820,NA,NA,NA,656,1089,458,NA,NA,NA,NA,NA,1445,975,NA,NA,1000,798,745,459,586,NA,NA,NA,NA,2381,998,790
"ENSG00000140937",NA,2013,NA,2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000166548",3332,NA,3925,5516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000183723",5118,2116,3642,2466,2027,NA,1208,2370,2380,3479,1354,1603,3100,2948,2148,2700,NA,NA,NA,NA,1758,NA,NA,NA,NA,3454,1173,2186,NA,NA,NA,NA,2326,2659,1377,2298
"ENSG00000135720",2868,1814,1533,2494,1251,1686,1718,1328,1688,1772,765,998,1125,1288,3256,2099,1500,2037,2077,1177,1505,1478,NA,NA,2268,1499,2466,496,2044,NA,1597,1197,3096,2965,2256,3000
"ENSG00000159593",NA,NA,NA,5328,NA,NA,NA,NA,NA,NA,NA,NA,NA,4370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3451,3432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000166595",1839,3161,2502,3428,2055,1849,2584,2913,2354,2875,1491,1446,2709,2443,2595,1621,1580,1003,1388,1216,2473,2300,1131,1296,1397,2168,3407,2889,1940,1055,1613,1940,2080,2110,2288,2936
"ENSG00000172831",5607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000172824",5228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000067955",3341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000125149",4937,3669,NA,3545,NA,NA,NA,1484,2713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,960,1959,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000102871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000196123",2181,NA,3017,1922,NA,NA,NA,2051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2896,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000168701",2564,NA,4946,3815,NA,NA,NA,NA,3441,3049,NA,NA,2924,3768,3033,2575,NA,NA,1819,NA,NA,NA,NA,NA,NA,3228,3406,3556,NA,NA,1820,1659,2989,NA,NA,2673
"ENSG00000159713",888,405,838,320,190,377,NA,339,217,574,713,162,428,457,466,278,NA,NA,NA,202,406,428,NA,NA,745,1500,NA,851,1002,299,687,366,1469,1064,823,1153
"ENSG00000159720",267,290,631,267,419,477,253,365,458,209,536,548,650,545,370,530,254,210,230,229,483,374,203,450,466,734,246,456,475,434,347,474,194,159,301,185
"ENSG00000039523",3425,2708,2120,2266,NA,NA,2044,1613,2582,NA,NA,NA,NA,1521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,2119,2676,NA,NA,NA,NA,2200,2231,2610,2451
"ENSG00000159753",5803,NA,1694,1004,NA,NA,1882,1230,2096,589,NA,599,849,1035,1619,791,1006,548,497,470,877,805,NA,NA,NA,2489,1244,1496,NA,NA,1164,NA,612,810,1144,866
"ENSG00000102977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000102981",NA,NA,NA,2611,NA,NA,NA,NA,NA,NA,NA,NA,1478,2996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000141098",1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000168286",3325,NA,4983,4469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000102898",5399,3195,4484,2723,2122,NA,2030,2616,2983,2885,2115,1820,3451,2830,2412,NA,NA,NA,2121,NA,2577,2068,NA,NA,1926,2689,3775,2689,NA,NA,NA,NA,1890,2724,2641,2887
"ENSG00000038358",3824,NA,4117,4093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2494,2883,NA,NA,NA,NA,NA,NA,NA,NA,NA
