"","V10B01-085_A1","V10B01-085_B1","V10B01-085_C1","V10B01-085_D1","V10B01-086_A1","V10B01-086_B1","V10B01-086_C1","V10B01-086_D1","V11A20-297_A1","V11A20-297_B1","V11A20-297_C1","V11A20-297_D1","V11L05-333_A1","V11L05-333_B1","V11L05-333_C1","V11L05-333_D1","V11L05-335_A1","V11L05-335_B1","V11L05-335_C1","V11L05-335_D1","V11L05-336_A1","V11L05-336_B1","V11L05-336_C1","V11L05-336_D1","V11U08-081_A1","V11U08-081_B1","V11U08-081_C1","V11U08-081_D1","V11U08-084_A1","V11U08-084_B1","V11U08-084_C1","V11U08-084_D1","V12F14-051_A1","V12F14-051_B1","V12F14-051_C1","V12F14-051_D1"
"ENSG00000186591",3801,3572,5038,5015,NA,NA,NA,3090,3633,3358,NA,NA,3771,4416,3185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,2025,3187,NA,NA,NA,NA,2933,2888,2427,2930
"ENSG00000128607",2365,NA,2644,2700,NA,NA,NA,NA,NA,2904,NA,NA,NA,3743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3225,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000106477",NA,NA,NA,3655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000286214",4887,397,250,355,467,782,321,860,441,256,192,933,339,930,613,662,603,417,555,497,278,182,282,257,672,956,725,340,432,NA,1151,NA,224,496,510,454
"ENSG00000226380",NA,NA,NA,1359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000128585",3411,NA,4775,5779,NA,NA,NA,2110,4081,NA,NA,NA,NA,4360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000128567",5701,NA,NA,3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000221866",927,NA,1754,1714,NA,NA,NA,NA,524,1237,NA,NA,NA,388,NA,NA,NA,NA,NA,NA,533,NA,NA,NA,464,612,NA,NA,NA,NA,NA,NA,1132,838,502,811
"ENSG00000106554",NA,NA,NA,5499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000131558",3743,2912,3050,4402,NA,NA,2704,1737,NA,3372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1684,1837,NA,NA,NA,NA,2456,NA,NA,NA
"ENSG00000205060",3452,1265,2856,1674,NA,NA,2774,NA,1975,NA,NA,NA,2163,NA,2281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2196,1975,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000085662",1874,2464,4607,2269,1420,1397,943,1805,2170,1642,1434,1733,1656,2101,691,1845,1343,1824,1697,1440,2396,1473,NA,NA,1773,1300,1807,1308,967,NA,1243,NA,1937,1551,1268,1058
"ENSG00000122786",205,NA,352,5055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000243317",NA,NA,NA,4376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193,NA,NA,NA,NA
"ENSG00000164707",NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,23,18,NA,NA,NA,NA
"ENSG00000105887",2051,292,870,408,332,605,145,333,751,733,501,903,599,494,382,553,435,522,549,584,274,299,225,288,775,628,283,302,449,385,655,615,223,222,205,297
"ENSG00000105894",3327,2302,853,2857,2094,1057,2122,1708,1428,2251,1486,1543,2189,3269,3224,1301,1688,1604,1792,1474,1964,1662,1340,1053,766,954,1745,2978,1235,1005,1738,1354,2296,1251,1251,987
"ENSG00000157680",3235,1507,NA,2911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000122779",5724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000164898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000146963",1483,NA,3926,5481,NA,NA,NA,2951,3962,NA,NA,NA,2704,3590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2369,3378,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000236279",2090,1378,1202,1625,322,788,961,NA,641,286,NA,NA,222,1112,293,NA,NA,610,NA,NA,NA,716,NA,NA,NA,NA,NA,619,NA,NA,NA,NA,990,1186,NA,1078
"ENSG00000064393",640,215,1264,515,268,298,143,150,587,1061,380,261,281,807,915,918,794,NA,NA,NA,670,758,NA,NA,906,603,520,75,1218,NA,924,NA,1124,1118,708,NA
"ENSG00000133606",2493,3291,2776,3739,1804,NA,2013,2574,1906,1842,NA,NA,1783,3304,1692,NA,NA,1730,1347,NA,NA,NA,NA,NA,NA,2777,3018,2211,NA,NA,NA,NA,1743,2727,1876,1699
"ENSG00000133597",2909,NA,NA,4513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000090266",1944,2149,2968,2576,1758,1355,927,1942,1559,1047,1039,2102,1188,2745,479,905,1554,1022,1470,744,846,645,483,515,1363,2805,3495,1524,1667,949,1803,1565,1488,1068,1849,2078
"ENSG00000157764",3552,NA,NA,3763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1867,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENSG00000090263",4999,3560,2440,4248,NA,NA,2580,NA,3050,2697,NA,NA,2763,3565,1421,2511,1719,1949,1798,NA,NA,NA,NA,NA,NA,2795,2905,2561,NA,NA,2043,1944,2315,2641,NA,1961
